batch,network_type,group,round,median_vote,score_gini,vote_var,vote_mad,vote_kurt
2,homo,218,2,35,0.1377251287742619,884.9973684210524,22.139999999999997,-0.17126006371436553
2,homo,218,3,39,0.12135037529293224,790.4736842105264,21.05,-0.06526548051230963
3,homo,306,1,42,0.0975551005660604,560.231884057971,18.083333333333332,0.6202440493975065
3,homo,306,2,50,0.09421438744524774,527.2058823529412,15.648148148148149,0.614950447879647
3,homo,306,3,50,0.08773946360153254,879.6900584795321,23.795013850415515,-0.9486809851222437
3,homo,312,1,45,0.08802132149939101,1068.896739130435,28.125,-1.1480828793075761
3,homo,312,2,52,0.08553755250888605,1067.140350877193,25.905817174515235,-0.9574556604800581
3,homo,312,3,52,0.0890761986524103,1157.3216374269005,28.09972299168975,-1.0358819049933459
3,homo,318,1,28,0.15571083505866126,548.6358695652175,18.645833333333332,-0.027039066379102472
3,homo,318,2,21,0.2217754407670894,252.98245614035088,12.77562326869806,-0.37986671405295125
3,homo,318,3,19,0.22169776423064977,446.4078947368421,15.95,0.5387184303266666
3,homo,324,1,30,0.14494406160659706,795.1286231884058,22.791666666666668,-0.3456811167734015
3,homo,324,2,40,0.11573391754630555,995.6476190476193,26.811791383219955,-1.191375035434547
3,homo,324,3,47,0.09211373390557928,901.7619047619048,22.31292517006803,-0.731941389225574
1,hete,105,1,30,0.14494406160659706,988.2590579710144,24.913194444444443,-0.5991809103517745
1,hete,105,2,35,0.13460786443623712,1162.3619047619045,27.44671201814059,-0.8584804406671562
1,hete,105,3,35,0.12860794337396791,1154.290476190476,26.17687074829932,-0.6647596198761088
1,hete,111,1,21,0.20046117904062638,644.1449275362319,19.666666666666668,0.5949000372936375
1,hete,111,2,23,0.19379567486950042,735.0292397660818,18.83656509695291,1.91033914154358
1,hete,111,3,24,0.18711085093927954,863.3131578947368,22.735000000000003,0.3009121055583672
1,hete,117,1,38,0.1108118507118123,1101.8097826086957,28.84375,-1.218939278037702
1,hete,117,2,40,0.13468654191775023,1190.0350877192984,30.293628808864266,-1.3486370954636175
1,hete,117,3,42,0.12007611295373755,1094.2394736842105,27.420000000000005,-1.1309820901783536
2,hete,205,1,48,0.07930031632696444,761.9347826086956,22.0,-0.6441919745488707
2,hete,205,2,59,0.06344822295107122,726.5438596491229,20.310249307479225,-0.2245048848868012
2,hete,205,3,59,0.06387156387156384,797.0526315789474,22.59279778393352,-0.7516919126023969
2,hete,211,1,17,0.2330385464653598,769.8677536231884,20.770833333333332,1.3220369744356226
2,hete,211,2,15,0.30127068557919623,1452.9181286549706,33.1634349030471,-1.115117386046076
2,hete,211,3,14,0.3368241320432555,1884.9166666666665,39.78125,-1.6987242034901036
2,hete,217,1,38,0.1108118507118123,993.6938405797099,25.798611111111114,-0.720495968690364
2,hete,217,2,44,0.1170696827873115,1212.9852941176468,29.06574394463668,-1.2822627588194013
2,hete,217,3,50,0.09706519124368523,1344.970588235294,30.228373702422147,-1.3707158616166033
3,hete,305,1,31,0.14001583377764854,687.5579710144929,19.944444444444443,0.5729716439041721
3,hete,305,2,34,0.15398051928827317,886.923976608187,22.53185595567867,-0.3205509371105273
3,hete,305,3,38,0.1390092879256965,974.9183006535949,25.561728395061728,-0.8742325978894043
3,hete,311,1,23,0.1856168796822557,957.9981884057969,25.555555555555557,-0.6138639278987519
3,hete,311,2,33,0.15739467815354521,1236.0233918128656,29.429362880886426,-1.1711500462909972
3,hete,311,3,40,0.11729768207500998,1116.934210526316,26.05,-0.8335218565569376
3,hete,317,1,28,0.15571083505866126,657.8260869565219,20.916666666666668,-0.2942267172061124
3,hete,317,2,40,0.11276970852238663,891.6103896103897,22.793388429752063,-0.588935839407069
3,hete,317,3,48,0.0955468901480061,1066.315789473684,26.8,-1.098295504931449
3,hete,323,1,31,0.14001583377764854,901.3460144927536,24.767361111111114,-0.6576043692276552
3,hete,323,2,32,0.15563985837126978,1021.6571428571427,27.482993197278915,-1.0929440681067033
3,hete,323,3,42,0.1029669816636347,1076.5652173913043,28.642722117202265,-1.3280737690680413
1,rich,104,1,32,0.13586558369167073,1135.9981884057975,28.65625,-1.1233635121605958
1,rich,104,2,36,0.1536719035440264,1268.9673202614376,31.60493827160494,-1.4110498933094766
1,rich,104,3,53,0.09683457197908064,1577.929166666667,36.1875,-1.612756269493447
1,rich,110,1,50,0.07438349508810602,1061.4329710144928,27.184027777777782,-1.1758413601578237
1,rich,110,2,50,0.07895525155842105,977.9762845849805,26.495274102079396,-1.0988378782835464
1,rich,110,3,70,0.040585009140767916,968.4619047619047,26.217687074829936,-0.8444266679930537
1,rich,116,1,30,0.14494406160659706,737.0416666666667,23.791666666666668,-1.0355976794419952
1,rich,116,2,25,0.2222476539253833,727.3104575163401,22.567901234567902,-0.6580045700537558
1,rich,116,3,30,0.17749360613810747,1216.735294117647,29.166666666666668,-1.174836217055435
2,rich,204,1,25,0.17307461971493598,901.5,24.791666666666668,-0.2989363739365851
2,rich,204,2,26,0.18528811252268584,873.2210526315788,25.22,-0.7941891182711167
2,rich,204,3,22,0.21157156910969002,833.7342105263157,23.064999999999998,-0.03889536058631071
2,rich,210,1,28,0.15571083505866126,846.5634057971016,22.947916666666668,-0.009194492221868522
2,rich,210,2,32,0.16355579835503337,1159.6198830409357,27.185595567867033,-0.8134991343959221
2,rich,210,3,40,0.11751832804464393,1122.9973684210527,25.945,-0.6962156848221848
2,rich,216,1,36,0.11853002070393368,1107.4130434782608,27.3125,-0.9958026050319928
2,rich,216,2,45,0.12103064066852373,1432.0294117647059,34.048442906574394,-1.608721135659377
2,rich,216,3,48,0.11025864379522937,1256.3823529411766,30.366782006920417,-1.2830942911338195
3,rich,304,1,40,0.10385093167701856,834.3025362318841,22.961805555555554,-0.6612771305118881
3,rich,304,2,50,0.08124893256944107,891.1601731601731,23.388429752066113,-0.807625356510973
3,rich,304,3,50,0.08694983663271195,1052.8571428571431,24.530612244897963,-0.9065716905788075
3,rich,310,1,40,0.10385093167701856,831.1286231884058,23.39236111111111,-0.727716815462637
3,rich,310,2,37,0.13033893634610091,970.9894736842105,24.060000000000002,-0.5326057230909464
3,rich,310,3,41,0.11408529500365802,964.8421052631579,27.0,-1.261098694627457
3,rich,316,1,30,0.14494406160659706,715.998188405797,20.409722222222225,0.04587222788236334
3,rich,316,2,30,0.1539292625880061,892.4078947368421,22.975,-0.29560178356959543
3,rich,316,3,30,0.1660909105516012,1103.2941176470588,28.333333333333332,-1.1217250403095578
3,rich,322,1,36,0.11853002070393368,302.60869565217394,14.166666666666666,-0.5676159334126041
3,rich,322,2,40,0.1190178571428571,374.9142857142857,15.30612244897959,-0.7098814564760931
3,rich,322,3,42,0.1117659804983749,600.3333333333333,18.85714285714286,-0.35265817836410784
1,poor,103,1,25,0.17307461971493598,740.1739130434781,22.0,-0.05057996406665177
1,poor,103,2,32,0.16588200803628403,691.3594771241831,21.28395061728395,-0.08287852673522167
1,poor,103,3,32,0.18277234889612734,653.3624999999998,18.2109375,0.9556628994094152
1,poor,109,1,26,0.16757810384969407,611.2590579710147,18.100694444444446,1.0780954238569382
1,poor,109,2,29,0.18198481277821427,728.028947368421,19.919999999999998,0.4771421000415712
1,poor,109,3,30,0.17072747767276508,703.7763157894736,19.5,0.5234195916478548
1,poor,115,1,24,0.17940899680030126,939.4764492753626,24.055555555555554,0.3110112688987834
1,poor,115,2,25,0.18639726807057505,950.9177489177493,26.123966942148755,-0.7776689478079897
1,poor,115,3,33,0.15115365733922415,1029.447619047619,27.56916099773243,-1.1389936194788854
2,poor,203,1,26,0.16757810384969407,591.536231884058,21.180555555555554,-0.7463680380258402
2,poor,203,2,40,0.10587224809005023,556.695652173913,18.124763705103966,0.1401977135941297
2,poor,203,3,46,0.10327462424461528,734.471052631579,21.240000000000002,-0.7279625128929776
2,poor,209,1,30,0.14494406160659706,850.1721014492753,23.458333333333332,-0.14815056495636814
2,poor,209,2,37,0.1216634799235182,1040.8619047619045,27.573696145124718,-1.2745777666278812
2,poor,209,3,50,0.0868355877309965,1168.547619047619,28.91156462585034,-1.3296907714898052
2,poor,215,1,36,0.11853002070393368,1101.9710144927535,27.138888888888886,-0.8549483916875986
2,poor,215,2,48,0.09091982292179031,1087.2,26.32,-1.137351511822865
2,poor,215,3,55,0.07711493090663978,1103.2631578947369,26.969529085872576,-1.2123030404255544
3,poor,303,1,38,0.1108118507118123,973.3894927536231,25.458333333333332,-0.6509625901593372
3,poor,303,2,40,0.1391991818753932,828.6911764705885,21.688581314878896,-0.24537773208365987
3,poor,303,3,40,0.11478069297015822,716.9333333333332,19.809523809523814,-0.268547700171093
3,poor,309,1,34,0.12697864104513723,453.7373188405798,18.07986111111111,-0.9510942139257694
3,poor,309,2,41,0.10889284165626856,526.4675324675327,19.644628099173556,-1.1295025596421628
3,poor,309,3,41,0.10677644694403478,642.1818181818184,21.304347826086957,-1.244230852782327
3,poor,315,1,20,0.20807453416149074,826.0869565217391,22.75,0.07267216620498695
3,poor,315,2,25,0.196853546910755,859.0619047619048,24.35374149659864,-0.631649767918617
3,poor,315,3,30,0.1808434081750144,888.4327485380117,23.141274238227147,-0.45214354574599147
3,poor,321,1,25,0.17307461971493598,793.304347826087,21.291666666666668,0.6822828339342588
3,poor,321,2,25,0.17550310757609067,750.7667984189724,19.516068052930056,1.2337002752069894
3,poor,321,3,34,0.13200583877275596,743.9761904761906,20.681818181818183,0.5160658572325261
